tipo_evento,departamento,codigo_dane_departamento,municipio,codigo_dane_municipio,a_o,mes,evento,tipo_lugar,tipo_area,latitud_cabecera,longitud_cabecera,sitio,geocoded_column
Desminado militar en operaciones,NORTE DE SANTANDER,54,SAN CALIXTO,54670,2018,6,Incidente,Sin informacion,Rural,8.39805555555555,-73.2038888888889,BALASMINA,"{'type': 'Point', 'coordinates': [-73.2038888888889, 8.39805555555555]}"
Desminado militar en operaciones,NARIÑO,52,TUMACO,52835,2018,6,Incidente,Sin informacion,Rural,1.26638888888889,-78.5647222222222,MOGUI,"{'type': 'Point', 'coordinates': [-78.5647222222222, 1.26638888888889]}"
Desminado militar en operaciones,ANTIOQUIA,5,TARAZÁ,5790,2018,10,Incidente,Sin informacion,Rural,7.54388888888889,-75.5611111111111,EL BLANCO,"{'type': 'Point', 'coordinates': [-75.5611111111111, 7.54388888888889]}"
Desminado militar en operaciones,GUAVIARE,95,EL RETORNO,95025,2018,11,Incidente,Sin informacion,Rural,2.08694444444444,-72.2088888888889,LA PAZ,"{'type': 'Point', 'coordinates': [-72.2088888888889, 2.08694444444444]}"
Desminado militar en operaciones,CAUCA,19,JAMBALÓ,19364,2019,1,Incidente,Sin informacion,Rural,2.87611111111111,-76.3308333333333,LA MINA,"{'type': 'Point', 'coordinates': [-76.3308333333333, 2.87611111111111]}"
Desminado militar en operaciones,NARIÑO,52,TUMACO,52835,2019,1,Incidente,Sin informacion,Rural,1.32083333333333,-78.5908333333333,EL TANDIL,"{'type': 'Point', 'coordinates': [-78.5908333333333, 1.32083333333333]}"
Desminado militar en operaciones,CORDOBA,23,TIERRALTA,23807,2019,1,Incidente,Sin informacion,Rural,7.67694444444444,-76.3736111111111,SAIZA,"{'type': 'Point', 'coordinates': [-76.3736111111111, 7.67694444444444]}"
Desminado militar en operaciones,BOLIVAR,13,SAN PABLO,13670,2018,12,Incidente,Sin informacion,Rural,7.53222222222222,-73.9338888888889,LOMA FRESCA,"{'type': 'Point', 'coordinates': [-73.9338888888889, 7.53222222222222]}"
Desminado militar en operaciones,NARIÑO,52,TUMACO,52835,2019,2,Incidente,Sin informacion,Rural,1.2675,-78.5580555555556,MOGUI,"{'type': 'Point', 'coordinates': [-78.5580555555556, 1.2675]}"
Desminado militar en operaciones,NARIÑO,52,TUMACO,52835,2019,2,Incidente,Sin informacion,Rural,1.33055555555556,-78.5752777777778,VALLENATO,"{'type': 'Point', 'coordinates': [-78.5752777777778, 1.33055555555556]}"
